"","Country.Name","AverageRain2014","ForestLand2014","AgriculturalLand2014","RuralLand2000","UrbanLand2000","PermCropLand2014","TotalLand2014","PopDensity2014","LifeTotal2014"
"1","Albania",1485,7724.60022,42.8573007,26686.71094,1689.403809,2.934306625,27400,105.4417518,77.813
"2","Algeria",89,19484.00024,17.39526565,2285675.75,30195.79688,0.407181299,2381740,16.34254243,75.878
"3","Angola",1010,579808.0078,47.47734018,1248198.625,1427.029541,0.232614101,1246700,21.61047485,58.776
"4","Antigua and Barbuda",1030,98.00000191,20.45454545,167.8600616,266.2775574,2.272727273,440,210.3681818,76.349
"5","Argentina",591,274088.0078,54.33571212,2690269.5,55032.20313,0.365404923,2736690,15.59164538,75.913
"6","Australia",534,1244430,52.88377179,7641564.5,36745.70313,0.045559273,7682300,3.055814795,82.3
"7","Bahamas",1292,5150,1.398601399,12245.5166,425.8963623,0.3996004,10010,37.02627373,72.847
"8","Bahrain",83,5.899999738,11.15434572,115.1443634,549.2779541,3.891050661,770.9999847,1732.911837,76.624
"9","Bangladesh",2666,14315.99976,69.90089882,123889.625,11125.3916,6.376277176,130170,1187.064354,71.231
"10","Barbados",1422,63.00000191,27.90697674,14.80739212,420.3754272,2.325581395,430,662.3837209,78.717
"11","Belarus",618,86135.99609,42.4879174,198055.7813,7783.031738,0.580372752,202973.0078,46.67867468,72.97073171
"12","Belgium",847,6829.60022,43.96631601,18091.89063,12349.22852,0.736459684,30280,370.180218,81.28780488
"13","Belize",1705,13713.19946,7.014467339,21296.04492,508.0564575,1.402893468,22810,15.49171416,73.782
"14","Benin",1039,43610,33.25647393,113916.9609,1447.184937,4.434196524,112760,91.22775807,60.345
"15","Bosnia and Herzegovina",1028,21850,42.12890625,49338.41797,1723.146729,2.0703125,51200,68.00984375,76.723
"16","Brazil",1761,4945220,33.9284817,8241430,134981.375,0.786299344,8358140,24.25943272,74.745
"17","Brunei Darussalam",2722,3800,2.732447745,4743.62207,1017.068604,1.138519924,5270,77.75502846,75.193
"18","Bulgaria",608,38058.00049,45.84561533,103838.0078,6678.94043,1.169859985,108560,66.54327561,74.46585366
"19","Cabo Verde",228,889.4000244,19.60297767,3913.569092,180.3818817,0.992555831,4030,128.6027295,71.886
"20","Cambodia",1904,95844.00391,30.90301382,176298.1875,1152.062866,0.878087469,176520,86.53128824,68.273
"21","Cameroon",1604,190360,20.62575363,459153.1875,3680.405762,3.278965962,472710,47.98260667,57.083
"22","Canada",537,3471155.938,6.888583005,9084045,126511.1641,0.52309832,9093510,3.897002917,81.8
"23","Chile",1522,174341.9922,21.19774204,709418.75,12027.5166,0.614633911,743532.0313,23.88459172,79.504
"24","China",645,2067790.938,54.80841731,8868577,380679.3,1.706395348,9388211.25,145.3173521,75.629
"25","Colombia",3240,585284.6094,40.54723764,1090598.125,36132.13672,1.70712939,1109500,42.33367192,76.322
"26","Comoros",900,374.0000153,71.46695091,1478.78833,196.407196,28.47931126,1861.000061,408.0547959,63.214
"27","Congo Dem. Rep.",1543,1528894.063,11.55686906,2278811.75,9061.722656,0.396991685,2267050,32.538959,58.828
"28","Congo Rep.",1646,223494.0039,31.11859444,338427.125,1087.161865,0.225475842,341500,13.87108053,62.582
"29","Costa Rica",2926,27258.00049,34.86290591,46479.98438,4051.562988,6.149627889,51060,93.9168821,79.398
"30","Cote d'Ivoire",1348,104014.0039,64.77987421,314812.3438,3466.161621,14.1509434,318000,71.21912893,55.508
"31","Croatia",1113,19215.99976,26.96211667,51019.57031,5302.795898,1.386704762,55960,75.73961758,77.47804878
